id,registro,fs,duracion_seq,media_mv,mstd_mV,skewness,kurtosis,rr_mean_s,rr_std_s,label
A01348,57,300,30.0,735.2540074225137,310313.7439631369,-1.2317525656655466,-0.23214335111933115,0.8200000000000001,0.2362881689070193,Normal
A06630,76,300,60.0,-746.027887475499,161295.72645296768,-1.5350386588672187,4.487983903915112,0.8623188405797102,0.15369763941983303,Anormal
A01868,91,300,30.0,1405.3747505150059,336726.2137684338,-4.168619040331067,15.886331693777844,0.7305833333333334,0.08378506728528659,Normal
A04904,220,300,30.0,-155.61462576418896,98189.00594910719,0.17317703933862855,-1.6326772151586613,1.1244871794871794,0.5003698993349027,Anormal
A02311,90,300,30.0,543.2147062989054,145482.72594155147,1.5266479914623075,4.8098469510968425,0.6446376811594203,0.03201357095136,Anormal
A03333,6,300,30.0,2801.5911091771686,121484.48269966878,0.4191207765048054,-1.0484728296164278,1.0645238095238096,0.42283455269989,Anormal
A06280,49,300,56.18666666666667,-2.264265032027229,187482.68810178945,-0.05820100386168352,2.3812771457328408,0.7383555555555557,0.10126075373467047,Anormal
A02892,6,300,30.0,1162.2875134252465,185007.88611450512,-1.1568767932618746,1.6182534001622084,0.9491397849462366,0.18565773369359134,Anormal
A07990,25,300,30.0,656.5628221971498,111081.95162873848,-3.2704537220727254,9.286226509790565,1.0566666666666666,0.14919891909902522,Anormal
A06662,323,300,30.046666666666667,-770.4187403377856,95749.4785364354,-4.005239342425318,15.428716160526939,1.1454666666666669,0.1777235806276452,Normal
A06731,50,300,30.0,-324.04733207148763,205141.16250122414,-0.8150193898004013,0.10025758851960687,0.9743333333333335,0.017704362299852665,Normal
A07080,22,300,60.0,1040.933092827853,75363.87668692009,2.5023428359086664,4.7081248458427,0.9297267759562842,0.25152308000430385,Normal
A06245,96,300,32.08,390.38663040428196,238610.12805609938,-0.10988192897407459,-0.5593562784887545,0.767479674796748,0.21125612255242074,Anormal
A06384,58,300,30.0,132.46161273401765,237632.29951826826,-1.4135896165311232,0.8412800532403053,0.618263888888889,0.1373222581553207,Normal
A08262,12,300,30.0,767.6742731428242,298280.0205563054,0.8081644334495061,1.5759536030247068,0.9881111111111112,0.29228307351218336,Anormal
A06686,33,300,60.0,-79.64192431172367,95994.70879260146,1.6453236106170608,6.7382866700796065,0.7728138528138528,0.05745458068151382,Normal
A06592,67,300,30.0,-375.3772872842725,131856.1264851667,-0.17733871972610732,-0.8461709459113513,0.933763440860215,0.02775651863097632,Normal
A06714,154,300,30.0,564.654357744159,260416.81198268337,-2.2698894412266726,6.415632962365743,0.8627450980392158,0.12767265789514215,Normal
A02654,147,300,30.0,94.76856220716192,61315.48448715396,0.3468231860510764,-0.6757966345652733,1.0286904761904763,0.37759403252880014,Anormal
A00954,220,300,10.593333333333334,2533.657987876612,136848.964990053,1.2316109404350881,1.7263658870326708,0.8118181818181819,0.2094840397303449,Anormal
A08271,46,300,30.0,1897.7873657615771,157275.6931314422,-3.67087317751343,13.354510802612836,0.6619696969696971,0.07133049478145206,Normal
A00278,230,300,30.0,-379.85335525541495,283368.05112278706,0.5572457371736426,-0.5339336788608353,0.7265833333333334,0.23214637085252915,Anormal
A07230,5,300,30.0,-1052.7533783830213,414206.78582512954,-2.8336233409055995,7.056007048990306,0.6631851851851852,0.09098895755972379,Normal
A07000,108,300,30.366666666666667,-168.26074599969976,146993.52177590513,-0.4450934952261859,-0.4921892774188503,0.8371428571428573,0.011687542062203777,Normal
A07853,48,300,14.913333333333334,2497.037697053531,178660.06214044747,-0.7252657591942929,0.043061845368777885,1.0071428571428571,0.33811535822090755,Anormal
A04607,8,300,30.0,333.6409257234259,86119.21550178908,-0.7584619359071487,-0.7964960764686846,0.9176041666666668,0.2592232445946822,Anormal
A01301,104,300,30.0,-427.3722074603042,104334.75415194151,0.8703888942545583,9.698294048984955,0.9341935483870967,0.07531043396338276,Anormal
A04014,167,300,28.393333333333334,33.7041089311963,220635.67055212022,0.12857956917478539,-1.417433781575915,0.8398989898989899,0.31962255185694477,Anormal
A01544,223,300,30.0,-3869.8284894080716,152172.48077338282,1.5438876357433906,1.6577660372599006,0.6202439024390244,0.4039831426383909,Anormal
A00123,233,300,30.0,-1729.4150170959988,151692.43665882642,-0.01807478320679345,-0.21800242213790844,0.905625,0.1067461861795956,Anormal
A06313,221,300,55.10666666666667,57.39292664458127,139045.04708777796,-0.13756167667200148,-1.4173329219782669,0.6885777777777777,0.30770653327039377,Normal
A04021,7,300,30.0,944.0329885013755,276725.08181917184,-5.332291157789598,30.08064184213775,0.7115873015873017,0.051610251305419116,Anormal
A02516,57,300,60.0,1793.675074240086,135039.69688254024,0.29567805486915133,13.19688864119087,0.9250520833333333,0.1510713961402715,Normal
A04080,52,300,13.306666666666667,-98.21209963843968,193237.6745310396,0.21959882179298587,4.810046570538857,0.7187037037037037,0.07896818306697873,Normal
A01494,93,300,30.0,-266.9891930683026,248432.99262432408,2.640235218182063,8.11236275305923,0.6690151515151516,0.2421020941934535,Anormal
A02700,78,300,60.0,-174.61416508777532,139797.44476876597,1.351855988031298,6.006477051703284,0.8627536231884058,0.06651905523302876,Normal
A03853,58,300,30.0,873.1624700527883,153387.878303013,0.4241782524552488,0.14914191538496535,0.8785858585858587,0.03144157430271584,Normal
A00489,7,300,60.0,992.6167833561807,119564.53432019833,1.8958499389122172,3.640754676310938,0.8041441441441443,0.2585312004862626,Normal
A00012,240,300,30.0,566.1909077945592,110231.95938107879,-2.4797480997792354,4.652195824174632,0.8919791666666668,0.03534413528869472,Normal
A02293,198,300,30.0,-340.6342191928907,115864.35270885391,0.18234419529176404,-1.6031806933850312,1.3383333333333334,0.4618772083092601,Normal
A04454,71,300,30.0,-87.96064081296426,116377.32525164419,-0.21406860369023414,-0.38105219855157646,0.7644736842105264,0.1920758809541722,Anormal
A07940,157,300,30.0,367.64480169748776,111471.97470024944,-2.7388173739785917,6.734799020219082,1.1041025641025641,0.15636989811392862,Anormal
A05615,128,300,30.0,-140.26843164606336,87484.5788797155,0.024195980520141484,-0.9017723218727705,0.6047222222222223,0.008945134548947017,Normal
A07274,137,300,30.0,98.30676207504108,135170.7311989536,4.461414863240144,19.00946808067537,0.5073684210526316,0.08703640618052176,Anormal
A04630,90,300,15.86,3318.128789316189,195027.75604745388,4.058953134465982,15.36022432399404,0.657536231884058,0.1366550627498787,Anormal
A07694,212,300,30.0,-78.12657085877815,114477.81820305767,-1.8413613038404242,1.6811832046719992,0.8044444444444444,0.16538208659918777,Normal
A00534,5,300,60.0,-513.1253972342801,86146.11795617563,1.898934124808047,1.8400990360436902,0.8417777777777778,0.24672406739533692,Normal
A07936,10,300,60.0,750.6527174647683,193020.31791886114,0.5201367117152237,1.573854171521531,0.5088034188034188,0.12280549367215243,Anormal
A08210,6,300,30.0,72.28408273402056,286033.9231863566,0.7086624299611631,-0.41986626830986973,0.5899333333333334,0.20691220897332815,Anormal
A04710,20,300,30.0,137.6364934691456,87670.88102687507,0.012958441649194045,-0.42993238166791503,0.9093750000000002,0.00887558683505867,Anormal
A03528,7,300,30.0,2222.6294693671052,193323.98908159463,0.6588257744524252,0.7071314259034951,0.7515384615384617,0.22916402783729647,Anormal
A07770,102,300,30.0,2858.7211192935747,262798.13977067673,-1.5584903027440113,3.188591007450607,0.8233333333333335,0.1587684080899201,Normal
A01340,555,300,30.0,757.5148603027534,39830.48041343877,1.3054925940178919,-0.2533399482173402,1.1902564102564102,0.38921016127330976,Anormal
A00053,326,300,30.0,-847.4709251265456,97230.11005445557,-1.9138629489883427,2.851888952541441,1.0506172839506174,0.21039456766883793,Normal
A03399,66,300,30.0,-689.8335180248703,92211.262263465,0.28090544178469024,-1.130374229649626,1.082051282051282,0.4430827100761684,Anormal
A07492,15,300,60.0,639.0307530300166,166927.02824338555,0.7182117491934389,-0.41994860200935324,0.9486111111111112,0.4349850110941102,Anormal
A03379,1157,300,30.0,-555.3830137769264,124087.34586657395,-0.9100094952770273,0.18227494184930926,0.9047619047619048,0.2700020995971107,Normal
A01747,45,300,30.0,379.74844055086595,152142.86017079782,1.1513274305344747,1.4608430643474053,0.5811111111111112,0.1354740996022324,Anormal
A04117,56,300,30.0,-463.723272997245,297872.3038480617,1.5302620882020226,2.614506544799096,0.5311309523809524,0.11642198284503301,Anormal
A03095,75,300,30.0,688.2485292269577,108291.75145941049,-0.6821414491874124,0.20763628167698922,1.2209722222222223,0.37566543326065227,Anormal
